LonIdx,LatIdx,Longitude,Latitude,LandFrac,Region,UTMx,UTMy
210,113,-97.5,16.492147,0.9110118,2,19.316674301833032,1828.7418883797407
211,113,-96.25,16.492147,1.0,2,152.9841272775742,1826.1713622225689
212,113,-95.0,16.492147,1.0,2,286.51187643691026,1824.4333197629012
208,114,-100.0,17.434555,1.0,2,-244.89552692761492,1941.3109008569625
209,114,-98.75,17.434555,1.0,2,-111.46865443980089,1936.843797010901
210,114,-97.5,17.434555,1.0,2,21.716779209075902,1933.2644377017539
211,114,-96.25,17.434555,1.0,2,154.71366495229393,1930.565071487555
212,114,-95.0,17.434555,1.0,2,287.5745976226413,1928.7398723426488
206,115,-102.5,18.376963,0.8689986,2,-507.2613799533494,2058.391240378232
207,115,-101.25,18.376963,0.99678963,2,-373.9291642463312,2051.826114125441
208,115,-100.0,18.376963,1.0,2,-240.93518230197253,2046.2120484434658
209,115,-98.75,18.376963,1.0,2,-108.22733338746114,2041.5369344972294
210,115,-97.5,18.376963,1.0,2,24.24606274644751,2037.790740025774
211,115,-96.25,18.376963,0.9105031,2,156.53634172938263,2034.965459799928
205,116,-103.75,19.319372,0.9164111,2,-634.497129329135,2171.670429434656
206,116,-102.5,19.319372,1.0,2,-501.5611856179603,2163.814740968368
207,116,-101.25,19.319372,1.0,2,-369.0037549074382,2156.965528268276
208,116,-100.0,19.319372,1.0,2,-236.7739815653423,2151.1081442868626
209,116,-98.75,19.319372,1.0,2,-104.82145468855789,2146.230135941586
210,116,-97.5,19.319372,1.0,2,26.90385964981257,2142.3211836572013
205,117,-103.75,20.26178,1.0,2,-627.7000095296332,2277.3906494006496
206,117,-102.5,20.26178,1.0,2,-495.58826072622617,2269.2184939648428
207,117,-101.25,20.26178,1.0,2,-363.84231030816716,2262.092792536142
208,117,-100.0,20.26178,1.0,2,-232.41309773459554,2255.9985395188055
209,117,-98.75,20.26178,1.0,2,-101.25195466893283,2250.922973770587
210,117,-97.5,20.26178,0.8437813,2,29.689454108576754,2246.8555181852385
205,118,-103.75,21.20419,1.0,2,-620.5951245431039,2383.0816385000385
206,118,-102.5,21.20419,1.0,2,-489.344346701807,2374.6021494613624
207,118,-101.25,21.20419,1.0,2,-358.44628551489546,2367.207857155622
208,118,-100.0,21.20419,1.0,2,-227.85372424353542,2360.8834409751503
209,118,-98.75,21.20419,1.0,2,-97.5197856912068,2355.61586846254
205,119,-103.75,22.146597,1.0,2,-613.1846771765139,2488.7418818750143
206,119,-102.5,22.146597,1.0,2,-482.8313116311104,2479.964528228064
207,119,-101.25,22.146597,1.0,2,-352.81724386393336,2472.3098358539087
208,119,-100.0,22.146597,1.0,2,-223.0971451287919,2465.762213129927
209,119,-98.75,22.146597,1.0,2,-93.6259736726348,2460.3083934434644
204,120,-105.0,23.089005,1.0,2,-735.2600093510747,2604.613019270405
205,120,-103.75,23.089005,1.0,2,-605.4709157740552,2594.370542703476
206,120,-102.5,23.089005,1.0,2,-476.0510622766272,2585.305115644801
207,120,-101.25,23.089005,1.0,2,-346.95678107201877,2577.39849562752
208,120,-100.0,23.089005,1.0,2,-218.1446710129642,2570.6348642966886
209,120,-98.75,23.089005,1.0,2,-89.57156575407949,2565.0007583136103
203,121,-106.25,24.031414,0.9991894,2,-855.4588833908795,2722.310715262575
204,121,-105.0,24.031414,1.0,2,-726.2599841843883,2710.5222620427326
205,121,-103.75,24.031414,1.0,2,-597.4561733082563,2699.9668213228924
206,121,-102.5,24.031414,1.0,2,-469.0055786273292,2690.6234224318505
207,121,-101.25,24.031414,1.0,2,-340.8665552404166,2682.4736188756506
208,121,-100.0,24.031414,1.0,2,-212.9976645601344,2675.501409962972
209,121,-98.75,24.031414,1.0,2,-85.35765120681143,2669.693173183536
199,122,-111.25,24.973822,0.8991914,2,-1362.2912532711875,2890.1862150565958
203,122,-106.25,24.973822,1.0,2,-845.0853456420838,2828.5091545161117
204,122,-105.0,24.973822,1.0,2,-716.9257960424617,2816.3858730080433
205,122,-103.75,24.973822,1.0,2,-589.142917485925,2805.5293154491314
206,122,-102.5,24.973822,1.0,2,-461.696958155946,2795.918346137868
207,122,-101.25,24.973822,1.0,2,-334.5483252681437,2787.5343659968676
208,122,-100.0,24.973822,1.0,2,-207.65757305150444,2780.3612363371954
209,122,-98.75,24.973822,1.0,2,-80.9853881778008,2774.385213013971
202,123,-107.5,25.916231,1.0,2,-961.8254404439041,2948.414597704751
203,123,-106.25,25.916231,1.0,2,-834.3450427357617,2934.6474287925266
204,123,-105.0,25.916231,1.0,2,-707.2603410862374,2922.203024622402
205,123,-103.75,25.916231,1.0,2,-580.5336343407361,2911.0575170510238
206,123,-102.5,25.916231,1.0,2,-454.12731369341117,2901.1896638187272
207,123,-101.25,25.916231,1.0,2,-328.003862724803,2892.5807643926296
208,123,-100.0,25.916231,1.0,2,-202.12585401517862,2885.214586196821
209,123,-98.75,25.916231,1.0,2,-76.45594287500495,2879.0773008278234
198,124,-112.5,26.858639,0.8079114,2,-1459.4433213649274,3125.357493409717
201,124,-108.75,26.858639,0.84424615,2,-1076.3503513418084,3070.3133890261656
202,124,-107.5,26.858639,1.0,2,-949.5909110887973,3054.8284630892645
203,124,-106.25,26.858639,1.0,2,-823.2415137649007,3040.7235704911145
204,124,-105.0,26.858639,1.0,2,-697.2666863067618,3027.97208801302
205,124,-103.75,26.858639,1.0,2,-571.6309614310339,3016.5501041358084
206,124,-102.5,26.858639,1.0,2,-446.29889074048236,3006.4363278615792
207,124,-101.25,26.858639,1.0,2,-321.23505342199815,2997.6120078199992
208,124,-100.0,26.858639,1.0,2,-196.40406118512107,2990.0608612646633
209,124,-98.75,26.858639,1.0,2,-71.77056002294493,2983.7690126089456
223,124,-81.25,26.858639,0.9824767,2,1672.113547812914,3025.5820498545554
